signal_date,planned_entry_date,actual_entry_date,entry_price_source,trade_date,stock_id,stock_name,entry_price,entry_price_raw,slippage_rate,shares,original_shares,remaining_shares,position_value,entry_slippage,buy_slippage_cost,entry_commission,buy_commission,exit_price,exit_price_raw,exit_slippage,sell_slippage_cost,exit_commission,sell_commission,exit_tax,sell_tax,total_cost,realized_pnl_after_cost,realized_pnl_pct_after_cost,last_exit_realized_pnl_after_cost,partial_exit_1_done,partial_exit_2_done,highest_price_since_entry,highest_pnl_pct_since_entry,trailing_stop_price,stop_loss_price,suggested_position_pct,status,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,holding_days,stop_loss_hit,exit_date,realized_pnl,realized_pnl_pct,exit_reason
,,,,2026-05-08,3528,安馳,91.0,91.0,0.0,1098,1098.0,1098.0,99918.0,,0.0,0.0,0.0,82.4175,82.5,0.0825,0.0,128.95,128.95,271.48,271.48,491.01,-9824.01,-0.098321,0.0,False,False,91.0,0.0,,85.39,0.1,CLOSED,82.5,0.0,0.0,0.0,3.0,True,2026-05-11,-9824.01,-0.098321,STOP_LOSS
,,,,2026-05-08,3033,威健,43.85,43.85,0.001,2280,2280.0,1140.0,49989.0,,0.0,0.0,0.0,47.8521,47.9,0.0479,54.61,21.77,21.77,163.65,163.65,240.03,4376.97,0.043779,0.0,True,False,47.9,0.09236,44.068,40.6,0.1,OPEN,47.9,54606.0,4617.0,0.09236,5.0,False,2026-05-15,4376.97,0.043779,take_profit_1
,,,,2026-05-08,2376,技嘉,317.0,317.0,0.0,315,315.0,315.0,99855.0,,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,,0.0,False,False,327.0,0.031546,,293.43,0.1,OPEN,326.5,102847.5,2992.5,0.029968,5.0,False,,,,
,,,,2026-05-08,3416,融程電,175.5,175.5,0.001,569,569.0,0.0,0.0,,0.0,0.0,0.0,162.837,163.0,0.163,92.75,36.97,36.97,277.96,277.96,407.68,-7520.18,-0.075308,-7520.18,False,False,175.5,0.0,,163.0,0.1,CLOSED,163.0,0.0,0.0,0.0,5.0,True,2026-05-15,-7520.18,-0.075308,stop_loss
,,,,2026-05-08,00891,中信關鍵半導體,34.19,34.19,0.0,2924,2924.0,2924.0,99971.56,,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,,0.0,False,False,35.19,0.029248,,32.27,0.1,OPEN,34.15,99854.6,-116.96,-0.00117,5.0,False,,,,
,,,,2026-05-08,6206,飛捷,119.0,119.0,0.0,840,840.0,420.0,49980.0,,0.0,0.0,0.0,139.86,140.0,0.14,58.8,83.71,83.71,176.22,176.22,318.73,8501.27,0.085047,0.0,True,False,140.0,0.176471,128.8,110.93,0.1,OPEN,130.0,54600.0,4620.0,0.092437,5.0,False,2026-05-12,8501.27,0.085047,TAKE_PROFIT_1
2026-05-11,NEXT_AVAILABLE_TRADING_DAY,2026-05-12,OPEN,2026-05-12,00947,台新臺灣IC設計,38.6987,38.66,0.0,2584,2584.0,2584.0,99997.44,0.0387,100.0,142.5,142.5,,,,0.0,,0.0,,0.0,242.5,0.0,,0.0,False,False,38.6987,0.0,,35.19,0.1,OPEN,35.69,92222.96,-7774.48,-0.077747,3.0,False,,,,
2026-05-11,NEXT_AVAILABLE_TRADING_DAY,2026-05-12,OPEN,2026-05-12,2855,統一證,43.7437,43.7,0.001,2286,2286.0,0.0,0.0,0.0437,99.9,142.5,142.5,40.1099,40.15,0.0401,91.67,36.58,36.58,275.07,275.07,645.72,-8761.02,-0.087487,-8761.02,False,False,43.7437,0.0,,40.86,0.1,CLOSED,40.15,0.0,0.0,0.0,2.0,True,2026-05-14,-8761.02,-0.087487,STOP_LOSS
2026-05-11,NEXT_AVAILABLE_TRADING_DAY,2026-05-12,OPEN,2026-05-12,8213,志超,43.8438,43.8,0.001,2280,2280.0,0.0,0.0,0.0438,99.86,142.45,142.45,38.6613,38.7,0.0387,88.24,35.17,35.17,264.44,264.44,630.16,-12258.16,-0.122451,-12258.16,False,False,43.8438,0.0,,39.11,0.1,CLOSED,38.7,0.0,0.0,0.0,1.0,True,2026-05-13,-12258.16,-0.122451,STOP_LOSS
2026-05-11,NEXT_AVAILABLE_TRADING_DAY,2026-05-12,OPEN,2026-05-12,5258,虹堡,54.5545,54.5,0.0,1833,1833.0,1833.0,99998.4,0.0545,99.9,142.5,142.5,,,,0.0,,0.0,,0.0,242.4,0.0,,0.0,False,False,56.6,0.037495,,50.35,0.1,OPEN,53.5,98065.5,-1932.9,-0.019329,3.0,False,,,,
2026-05-11,NEXT_AVAILABLE_TRADING_DAY,2026-05-12,OPEN,2026-05-12,2357,華碩,686.686,686.0,0.001,130,130.0,0.0,0.0,0.686,89.18,127.21,127.21,640.359,641.0,0.641,83.33,33.22,33.22,249.74,249.74,582.68,-6432.68,-0.071957,-6432.68,False,False,686.686,0.0,,644.43,0.1,CLOSED,641.0,0.0,0.0,0.0,3.0,True,2026-05-15,-6432.68,-0.071957,stop_loss
2026-05-12,NEXT_AVAILABLE_TRADING_DAY,2026-05-13,OPEN,2026-05-13,1256,鮮活果汁-KY,199.199,199.0,0.001,253,253.0,253.0,50397.35,0.199,50.35,20.11,20.11,,,,0.0,,0.0,,0.0,70.46,0.0,,0.0,False,False,199.199,0.0,,175.07,0.1,OPEN,179.5,45413.5,-4983.85,-0.098891,2.0,False,,,,
2026-05-12,NEXT_AVAILABLE_TRADING_DAY,2026-05-13,OPEN,2026-05-13,3048,益登,46.2462,46.2,0.001,4,4.0,1.0,46.25,0.0462,0.18,1.0,1.0,56.0439,56.1,0.0561,0.16,1.0,2.0,0.17,0.48,3.82,15.97,0.085869,0.0,True,True,56.1,0.213073,51.612,43.15,0.1,OPEN,56.1,56.1,9.85,0.213073,2.0,False,2026-05-15,15.97,0.085869,take_profit_2
2026-05-13,NEXT_AVAILABLE_TRADING_DAY,2026-05-14,OPEN,2026-05-14,8926,台汽電,59.7597,59.7,0.001,1469,1469.0,1469.0,87787.0,0.0597,87.7,35.03,35.03,,,,0.0,,0.0,,0.0,122.73,0.0,,0.0,False,False,61.1,0.022428,,52.98,0.1,OPEN,61.1,89755.9,1968.9,0.022428,1.0,False,,,,
2026-05-13,NEXT_AVAILABLE_TRADING_DAY,2026-05-14,OPEN,2026-05-14,2030,彰源,18.3183,18.3,0.001,1,1.0,1.0,18.32,0.0183,0.02,1.0,1.0,,,,0.0,,0.0,,0.0,1.02,0.0,,0.0,False,False,18.3183,0.0,,16.67,0.1,OPEN,17.3,17.3,-1.02,-0.055589,1.0,False,,,,
2026-05-14,NEXT_AVAILABLE_TRADING_DAY,2026-05-15,OPEN,2026-05-15,2425,承啟,35.4354,35.4,0.001,2580,2580.0,2580.0,91423.33,0.0354,91.33,36.48,36.48,,,,0.0,,0.0,,0.0,127.81,0.0,,0.0,False,False,35.4354,0.0,,32.45,0.1,OPEN,34.6,89268.0,-2155.33,-0.023575,0.0,False,,,,
